,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
225,2020-01-12,AdWords,adwords_rem,351.95,14662.0,211.0,229.0,1.0,1.0,2251.0
226,2020-01-12,AdWords,adwords_sea,49.970000000000006,499.0,24.0,39.0,0.0,0.0,
227,2020-01-12,FirmyCz,zbozi,80.54,705.0,4.0,3.0,0.0,0.0,
228,2020-01-12,HeurekaCz,heureka,160.42000000000002,0.0,28.0,45.0,1.0,1.0,2324.0
229,2020-01-12,Not tracked,notset,0.0,0.0,0.0,0.0,6.0,5.0,
230,2020-01-12,RtbHouse,rtbhouse,1262.05,22468.0,492.0,386.0,4.0,3.0,16017.0
231,2020-01-12,Silverpop,emailing,1290.32,0.0,0.0,466.0,14.0,14.0,41548.0
232,2020-01-12,Sklik,sklik_bra,71.1,176.0,118.0,121.0,5.0,5.0,12658.0
233,2020-01-12,Sklik,sklik_pla,236.9,4484.0,56.0,61.0,1.0,1.0,229.0
234,2020-01-12,Sklik,sklik_rem,392.3,14351.0,119.0,123.0,0.0,0.0,
235,2020-01-12,Sklik,sklik_sea,130.01999999999998,528.0,70.0,74.0,1.0,1.0,425.0
236,2020-01-12,ZboziCz,zbozi,510.84,2950.0,66.0,45.0,1.0,1.0,2525.0
237,2020-01-12,unpaid,direct,0.0,0.0,0.0,518.0,13.0,12.0,
238,2020-01-12,unpaid,facebook,0.0,0.0,0.0,31.0,0.0,0.0,
239,2020-01-12,unpaid,internal,0.0,0.0,0.0,113.0,0.0,0.0,
240,2020-01-12,unpaid,notset,0.0,0.0,0.0,23.0,0.0,0.0,
241,2020-01-12,unpaid,organic,0.0,0.0,0.0,698.0,8.0,8.0,
242,2020-01-12,unpaid,referral,0.0,0.0,0.0,279.0,3.0,2.0,
243,2020-01-13,AdWords,adwords_bra,185.56,554.0,291.0,362.0,18.0,17.0,49053.0
244,2020-01-13,AdWords,adwords_dsa,448.31,1186.0,54.0,49.0,0.0,0.0,
245,2020-01-13,AdWords,adwords_pla,11091.91,204461.0,2581.0,2638.0,25.0,25.0,49151.0
246,2020-01-13,AdWords,adwords_rem,318.64,17408.0,179.0,198.0,2.0,2.0,1479.0
247,2020-01-13,AdWords,adwords_sea,76.05,665.0,35.0,38.0,0.0,0.0,
248,2020-01-13,Adform,adform_prospecting,0.0,0.0,0.0,1.0,0.0,0.0,
